id,cords,weight
717761,55.816141;37.329878,44.29
717762,55.759035;37.806219,57.59
717763,55.798277;37.624552,33.09
717764,55.80656;38.04844,130.10
717765,55.760373;37.921212,101.79
717766,55.63159;37.754143,154.95
717767,55.596793;37.343056,172.59
717768,55.995634;36.47417,48.35
717769,55.600389;37.598995,107.85
717770,55.53078;37.444521,73.07
717771,56.030759;35.511131,49.82
717772,55.805938;37.322646,49.82
717773,55.821846;37.336966,49.82
717774,55.744733;37.86946,36.37
717775,54.894352;38.080726,56.26
717776,55.840098;37.300153,42.45
717777,55.647844;37.741782,80.41
717778,55.714029;37.37324,66.69
717779,55.8611;37.585547,41.08
717780,55.607428;37.589689,64.37
717781,55.425486;37.497333,130.01
717782,54.832214;37.623088,59.47
717783,54.886538;38.06691,72.16
717784,55.800959;37.600891,49.02
717785,55.603568;37.554232,97.10
717786,55.760373;37.921212,77.74
717787,55.860332;37.121379,56.30
717788,55.814361;37.085662,56.30
717789,55.620972;37.440101,37.45
717790,55.77676;37.901413,61.72
717791,55.620972;37.440101,27.52
717792,55.23635;37.52766,48.03
717793,55.912844;36.863553,53.03
717794,55.324432;38.661244,55.89
717795,55.750211;37.784192,104.98
717796,55.806899;37.766351,45.93
717797,55.819767;37.374039,54.17
717798,55.75396;37.620393,209.97
717799,55.805498;37.414526,71.26
717800,55.618979;37.582511,64.53
717801,55.633653;37.609182,218.83
717802,55.820683;37.525872,89.47
717803,55.90416;36.856933,62.78
717804,55.27597;38.645146,116.73
717805,55.752156;37.588548,89.77
717806,55.747485;37.581298,90.71
717807,55.323393;37.35062,167.23
717808,55.899179;38.017934,44.87
717809,55.946305;36.838499,101.48
717810,55.6193;37.7135,60.24
717811,55.760373;37.921212,112.24
717812,55.823085;37.971311,69.38
717813,55.81607;37.340604,56.11
717814,55.899179;38.017934,35.14
717815,55.913692;36.867003,69.26
717816,55.84583;37.559721,70.49
717817,55.752105;37.773628,46.34
717818,55.799725;37.492482,124.93
717819,55.844243;37.362118,66.82
717820,55.684143;37.751143,112.37
717821,55.636514;37.260429,54.52
717822,55.842251;37.384873,83.08
717823,55.761811;35.714105,53.42
717824,55.873663;36.847213,75.74
717825,55.763072;37.833132,96.13
717826,55.633963;37.425468,77.56
717827,55.585189;37.596049,61.42
717828,55.620972;37.440101,93.93
717829,55.583703;37.709308,82.78
717830,56.02936;35.954997,217.33
717831,55.800959;37.600891,82.35
717832,55.558962;37.347853,62.62
717833,55.656331;37.590138,65.46
717834,54.898427;38.081759,87.89
717835,55.647534;37.595555,136.61
717836,55.789436;37.585592,317.62
717837,54.885798;38.107388,79.05
717838,55.89342;36.704094,141.79
717839,55.834087;37.274694,162.89
717840,56.018227;37.018863,142.58
717841,56.157714;37.724301,62.80
717842,55.664685;37.578262,191.28
717843,55.819014;37.347135,93.57
717844,55.757713;37.234109,27.07
717845,55.47574;37.538359,252.29
717846,55.7963;37.9382,69.56
